epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2506.62,0.4546,0.67232,0.93833,0.9476,0.99255,0.995,0.89787,0.3991,0.76301,0.86264,0.00035382,0.00035382,0.00035382
78,2535.79,0.42482,0.60238,0.89209,0.95587,0.9948,0.995,0.89669,0.36877,0.73612,0.85359,0.000339673,0.000339673,0.000339673
79,2570.27,0.43165,0.61311,0.94241,0.95965,0.99718,0.995,0.90867,0.35135,0.71364,0.84892,0.000325526,0.000325526,0.000325526
80,2604.77,0.464,0.637,0.91563,0.95558,0.99683,0.995,0.90867,0.37951,0.6966,0.85883,0.000311379,0.000311379,0.000311379
81,2637.96,0.48849,0.68038,0.94232,0.97191,0.88889,0.951,0.90903,0.40165,0.69065,0.86796,0.000297232,0.000297232,0.000297232
82,2668.77,0.42142,0.60757,0.91446,0.97292,0.88889,0.94,0.90133,0.40292,0.70246,0.87114,0.000283085,0.000283085,0.000283085
83,2697.97,0.46218,0.65409,0.93641,0.94895,0.99486,0.995,0.89583,0.46257,0.72957,0.91561,0.000268938,0.000268938,0.000268938
84,2732.36,0.37627,0.60924,0.90242,0.9499,0.99543,0.995,0.89693,0.44986,0.73632,0.92397,0.000254791,0.000254791,0.000254791
85,2766.93,0.4257,0.63685,0.92998,0.9532,0.99657,0.995,0.89858,0.41149,0.72839,0.90465,0.000240644,0.000240644,0.000240644
86,2798.89,0.38462,0.61193,0.90965,0.95719,0.99897,0.995,0.91329,0.40359,0.69889,0.89921,0.000226497,0.000226497,0.000226497
87,2828.71,0.40631,0.59627,0.89164,0.96158,1,0.995,0.91329,0.40964,0.66629,0.89933,0.000212349,0.000212349,0.000212349
88,2858.19,0.40997,0.59332,0.91893,0.96252,1,0.995,0.8974,0.45162,0.65219,0.91319,0.000198202,0.000198202,0.000198202
89,2898.45,0.372,0.556,0.91902,0.96423,1,0.995,0.90133,0.48024,0.63737,0.91582,0.000184055,0.000184055,0.000184055
90,2934.74,0.38044,0.57594,0.91359,0.96573,1,0.995,0.89898,0.46589,0.62907,0.8954,0.000169908,0.000169908,0.000169908
91,2971.03,0.27797,0.70188,0.829,0.96722,1,0.995,0.89898,0.43126,0.61495,0.87312,0.000155761,0.000155761,0.000155761
92,3003.25,0.24477,0.66503,0.78955,0.96695,1,0.995,0.89898,0.4183,0.59727,0.86902,0.000141614,0.000141614,0.000141614
93,3032.39,0.24386,0.66442,0.7898,0.96515,1,0.995,0.9059,0.40923,0.58934,0.86654,0.000127467,0.000127467,0.000127467
94,3065.64,0.26425,0.65808,0.79873,0.96396,1,0.995,0.916,0.42724,0.5939,0.87482,0.00011332,0.00011332,0.00011332
95,3101.21,0.22543,0.6506,0.80329,0.96171,1,0.995,0.916,0.42123,0.59866,0.87374,9.91726e-05,9.91726e-05,9.91726e-05
96,3133.36,0.2293,0.64646,0.81613,0.95855,1,0.995,0.916,0.41564,0.6058,0.87294,8.50255e-05,8.50255e-05,8.50255e-05
97,3162.5,0.22207,0.64439,0.76508,0.95684,1,0.995,0.916,0.39099,0.60486,0.86492,7.08784e-05,7.08784e-05,7.08784e-05
98,3191.97,0.22284,0.62948,0.76098,0.9575,1,0.995,0.9169,0.38469,0.60555,0.85967,5.67313e-05,5.67313e-05,5.67313e-05
99,3233.28,0.22082,0.64479,0.80891,0.95864,1,0.995,0.92114,0.38365,0.6038,0.85719,4.25842e-05,4.25842e-05,4.25842e-05
100,3269.61,0.22401,0.65414,0.80502,0.96045,1,0.995,0.92114,0.38482,0.60063,0.85624,2.84371e-05,2.84371e-05,2.84371e-05
